Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
SNP,*,*,ALL,*,QUAL,0.000000,0.9882120000000001,0.9910610000000001,0.062196,0.989634,12,3,2809091522,2579745414.000000,0.000000,6956,5268.000000,1690.000000,.,.,3.1171597633136097,,6874,5211.000000,1665.000000,.,.,3.1297297297297297,,82,57.000000,25.000000,.,.,2.28,,7396,5550.000000,1850.000000,.,.,3.0,,6874,5211.000000,1665.000000,.,.,3.1297297297297297,,62,51.000000,11.000000,.,.,4.636363636363637,,460,288.000000,174.000000,.,.,1.6551724137931034,
SNP,*,*,ALL,*,QUAL,10.500000,0.9853360000000001,0.995208,0.055411,0.9902479999999999,12,2,2809091522,2579745414.000000,0.000000,6956,.,1690.000000,.,.,,,6854,.,1659.000000,.,.,,,102,.,31.000000,.,.,,,7291,.,1819.000000,.,.,,,6854,.,1659.000000,.,.,,,33,.,8.000000,.,.,,,404,.,152.000000,.,.,,
SNP,*,*,ALL,*,QUAL,11.100000,0.985049,0.995207,0.054648,0.990102,12,2,2809091522,2579745414.000000,0.000000,6956,.,.,.,.,,,6852,.,.,.,.,,,104,.,.,.,.,,,7283,.,.,.,.,,,6852,.,.,.,.,,,33,.,.,.,.,,,398,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,11.700000,0.9849049999999999,0.9952059999999999,0.053752999999999995,0.990029,12,2,2809091522,2579745414.000000,0.000000,6956,.,.,.,.,,,6851,.,.,.,.,,,105,.,.,.,.,,,7274,.,.,.,.,,,6850,.,.,.,.,,,33,.,.,.,.,,,391,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,12.500000,0.984474,0.9952040000000001,0.053117,0.9898100000000001,12,2,2809091522,2579745414.000000,0.000000,6956,.,.,.,.,,,6848,.,.,.,.,,,108,.,.,.,.,,,7267,.,.,.,.,,,6848,.,.,.,.,,,33,.,.,.,.,,,386,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,13.100000,0.984186,0.9952030000000001,0.052739999999999995,0.989664,12,2,2809091522,2579745414.000000,0.000000,6956,.,.,.,.,,,6846,.,.,.,.,,,110,.,.,.,.,,,7262,.,.,.,.,,,6846,.,.,.,.,,,33,.,.,.,.,,,383,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,13.700000,0.984043,0.9952030000000001,0.051826,0.989591,12,2,2809091522,2579745414.000000,0.000000,6956,.,.,.,.,,,6845,.,.,.,.,,,111,.,.,.,.,,,7255,.,.,.,.,,,6846,.,.,.,.,,,33,.,.,.,.,,,376,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,14.300000,0.983611,0.995345,0.05147,0.9894430000000001,11,2,2809091522,2579745414.000000,0.000000,6956,.,.,.,.,,,6842,.,.,.,.,,,114,.,.,.,.,,,7247,.,.,.,.,,,6842,.,.,.,.,,,32,.,.,.,.,,,373,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,14.900000,0.983324,0.9954879999999999,0.050836,0.989369,11,2,2809091522,2579745414.000000,0.000000,6956,.,.,.,.,,,6840,.,.,.,.,,,116,.,.,.,.,,,7239,.,.,.,.,,,6840,.,.,.,.,,,31,.,.,.,.,,,368,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,15.500000,0.982892,0.9956309999999999,0.049682,0.9892209999999999,10,2,2809091522,2579745414.000000,0.000000,6956,5268.000000,.,.,.,,,6837,5184.000000,.,.,.,,,119,84.000000,.,.,.,,,7226,5433.000000,.,.,.,,,6837,5184.000000,.,.,.,,,30,22.000000,.,.,.,,,359,227.000000,.,.,.,,
