Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,312,294,18,401,35,63,3,8,0.942308,0.89645,0.157107,0.9188069999999999,,,1.462809917355372,1.717241379310345
INDEL,PASS,312,294,18,401,35,63,3,8,0.942308,0.89645,0.157107,0.9188069999999999,,,1.462809917355372,1.717241379310345
SNP,ALL,6956,6874,82,7396,62,460,12,3,0.9882120000000001,0.9910610000000001,0.062196,0.989634,3.1171597633136097,3.0,1.606446776611694,1.5821104122990914
SNP,PASS,6956,6874,82,7396,62,460,12,3,0.9882120000000001,0.9910610000000001,0.062196,0.989634,3.1171597633136097,3.0,1.606446776611694,1.5821104122990914
