Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,PASS,*,QUAL,20.200001,0.9538459999999999,0.924855,0.112821,0.939127,1,5,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,310,.,.,.,.,,,15,.,.,.,.,,,390,.,.,.,.,,,320,.,.,.,.,,,26,.,.,.,.,,,44,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,20.799999,0.9507690000000001,0.927114,0.111399,0.938792,0,5,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,309,.,.,.,.,,,16,.,.,.,.,,,386,.,.,.,.,,,318,.,.,.,.,,,25,.,.,.,.,,,43,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,22.299999,0.944615,0.9296190000000001,0.111979,0.9370569999999999,0,5,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,307,.,.,.,.,,,18,.,.,.,.,,,384,.,.,.,.,,,317,.,.,.,.,,,24,.,.,.,.,,,43,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,23.299999,0.944615,0.934911,0.11286099999999999,0.939738,0,5,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,307,.,.,.,.,,,18,.,.,.,.,,,381,.,.,.,.,,,316,.,.,.,.,,,22,.,.,.,.,,,43,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,23.900000,0.944615,0.9375,0.113456,0.9410440000000001,0,5,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,307,.,.,.,.,,,18,.,.,.,.,,,379,.,.,.,.,,,315,.,.,.,.,,,21,.,.,.,.,,,43,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,24.900000,0.926154,0.9393940000000001,0.115282,0.9327270000000001,0,5,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,301,.,.,.,.,,,24,.,.,.,.,,,373,.,.,.,.,,,310,.,.,.,.,,,20,.,.,.,.,,,43,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,26.400000,0.926154,0.9420729999999999,0.11590299999999999,0.9340459999999999,0,5,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,301,.,.,.,.,,,24,.,.,.,.,,,371,.,.,.,.,,,309,.,.,.,.,,,19,.,.,.,.,,,43,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,27.000000,0.923077,0.941896,0.11621600000000001,0.932392,0,5,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,300,.,.,.,.,,,25,.,.,.,.,,,370,.,.,.,.,,,308,.,.,.,.,,,19,.,.,.,.,,,43,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,27.600000,0.92,0.941718,0.116531,0.930732,0,5,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,299,.,.,.,.,,,26,.,.,.,.,,,369,.,.,.,.,,,307,.,.,.,.,,,19,.,.,.,.,,,43,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,28.500000,0.9138459999999999,0.941718,0.116531,0.927573,0,5,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,297,.,.,.,.,,,28,.,.,.,.,,,369,.,.,.,.,,,307,.,.,.,.,,,19,.,.,.,.,,,43,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,29.100000,0.901538,0.946875,0.11845699999999999,0.923651,0,4,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,293,.,.,.,.,,,32,.,.,.,.,,,363,.,.,.,.,,,303,.,.,.,.,,,17,.,.,.,.,,,43,.,.,.,.,,
INDEL,*,*,PASS,*,QUAL,29.700001,0.895385,0.949527,0.11944400000000001,0.9216610000000001,0,3,2809091522,2588093830.000000,0.000000,325,.,.,.,.,,,291,.,.,.,.,,,34,.,.,.,.,,,360,.,.,.,.,,,301,.,.,.,.,,,16,.,.,.,.,,,43,.,.,.,.,,
