Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,294,286,8,388,40,58,1,10,0.9727889999999999,0.8787879999999999,0.14948499999999998,0.9234020000000001,,,1.371900826446281,1.54
INDEL,PASS,294,286,8,388,40,58,1,10,0.9727889999999999,0.8787879999999999,0.14948499999999998,0.9234020000000001,,,1.371900826446281,1.54
SNP,ALL,6937,6908,29,7320,27,385,3,5,0.99582,0.996107,0.052596000000000004,0.9959629999999999,3.204848484848485,3.064372918978912,1.5819061801935965,1.56002800140007
SNP,PASS,6937,6908,29,7320,27,385,3,5,0.99582,0.996107,0.052596000000000004,0.9959629999999999,3.204848484848485,3.064372918978912,1.5819061801935965,1.56002800140007
